timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:06:49.481, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 227.55 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:50.481, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 224.16 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:51.481, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 228.08 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:52.482, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 225.01 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:53.482, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 226.96 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:54.482, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 227.42 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:55.482, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 226.44 W, 63, P2, 0x0000000000000000
2026/08/26 22:06:56.482, 0, 20778 MiB, 83 %, 1815 MHz, 1815 MHz, 218.20 W, 62, P2, 0x0000000000000004
2026/08/26 22:06:57.484, 0, 20780 MiB, 70 %, 1950 MHz, 1950 MHz, 204.27 W, 62, P2, 0x0000000000000000
2026/08/26 22:06:58.485, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 229.81 W, 63, P2, 0x0000000000000000
2026/08/26 22:06:59.485, 0, 20780 MiB, 79 %, 1950 MHz, 1950 MHz, 232.16 W, 62, P2, 0x0000000000000000
2026/08/26 22:07:00.485, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 228.25 W, 62, P2, 0x0000000000000000
2026/08/26 22:07:01.485, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 226.57 W, 62, P2, 0x0000000000000000
2026/08/26 22:07:02.485, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 228.07 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:03.485, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 226.52 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:04.485, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 216.36 W, 62, P2, 0x0000000000000004
2026/08/26 22:07:05.486, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 227.11 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:06.486, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 230.42 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:07.486, 0, 20780 MiB, 79 %, 1950 MHz, 1950 MHz, 229.00 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:08.486, 0, 20780 MiB, 79 %, 1950 MHz, 1950 MHz, 227.32 W, 62, P2, 0x0000000000000000
2026/08/26 22:07:09.486, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 225.03 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:10.486, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 224.01 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:11.487, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 225.92 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:12.487, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 226.65 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:13.487, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 227.69 W, 62, P2, 0x0000000000000000
2026/08/26 22:07:14.487, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 221.03 W, 62, P2, 0x0000000000000000
2026/08/26 22:07:15.487, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 223.70 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:16.487, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 226.70 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:17.487, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 227.96 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:18.488, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 228.82 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:19.488, 0, 20780 MiB, 79 %, 1950 MHz, 1950 MHz, 226.90 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:20.488, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 228.33 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:21.488, 0, 20780 MiB, 80 %, 1950 MHz, 1950 MHz, 229.31 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:22.488, 0, 20780 MiB, 59 %, 1950 MHz, 1950 MHz, 217.96 W, 63, P2, 0x0000000000000000
2026/08/26 22:07:23.488, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 229.00 W, 63, P2, 0x0000000000000000
