timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:19:39.142, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 167.04 W, 63, P2, 0x0000000000000000
2026/08/26 22:19:40.142, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 166.41 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:41.142, 0, 19044 MiB, 99 %, 1935 MHz, 1935 MHz, 166.63 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:42.142, 0, 19044 MiB, 99 %, 1935 MHz, 1935 MHz, 166.17 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:43.142, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 165.63 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:44.142, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 165.97 W, 62, P2, 0x0000000000000000
2026/08/26 22:19:45.143, 0, 19044 MiB, 100 %, 1935 MHz, 1935 MHz, 166.36 W, 61, P2, 0x0000000000000000
2026/08/26 22:19:46.143, 0, 21094 MiB, 100 %, 1935 MHz, 1935 MHz, 165.19 W, 61, P2, 0x0000000000000000
2026/08/26 22:19:47.143, 0, 22270 MiB, 0 %, 1950 MHz, 1950 MHz, 186.86 W, 65, P2, 0x0000000000000000
2026/08/26 22:19:48.143, 0, 22270 MiB, 77 %, 1935 MHz, 1935 MHz, 317.91 W, 67, P2, 0x0000000000000004
2026/08/26 22:19:49.143, 0, 22270 MiB, 75 %, 1935 MHz, 1935 MHz, 318.86 W, 67, P2, 0x0000000000000004
2026/08/26 22:19:50.143, 0, 22270 MiB, 78 %, 1935 MHz, 1935 MHz, 288.26 W, 68, P2, 0x0000000000000004
2026/08/26 22:19:51.144, 0, 22270 MiB, 79 %, 1935 MHz, 1935 MHz, 322.13 W, 68, P2, 0x0000000000000004
