wall_iso,ts,gfx_mhz,gfx_max_mhz,mem_mhz,sm_mhz,power_w,power_limit_w,power_default_w,temp_c,util_pct,mem_used_mib,pstate,throttle_active,thr_sw_thermal,thr_hw_thermal,thr_hw_power_brake,thr_sw_power_cap,thr_gpu_idle
2026-08-25T21:28:33+08:00,2026/08/25 21:28:33.453, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.73 W, 350.00 W, 350.00 W, 61, 88 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:38+08:00,2026/08/25 21:28:38.482, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 204.01 W, 350.00 W, 350.00 W, 61, 41 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:43+08:00,2026/08/25 21:28:43.510, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 208.34 W, 350.00 W, 350.00 W, 60, 90 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:48+08:00,2026/08/25 21:28:48.536, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 205.48 W, 350.00 W, 350.00 W, 60, 72 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:53+08:00,2026/08/25 21:28:53.561, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 206.40 W, 350.00 W, 350.00 W, 61, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:28:58+08:00,2026/08/25 21:28:58.587, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.11 W, 350.00 W, 350.00 W, 61, 90 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:03+08:00,2026/08/25 21:29:03.614, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 206.62 W, 350.00 W, 350.00 W, 61, 88 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:08+08:00,2026/08/25 21:29:08.643, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 200.49 W, 350.00 W, 350.00 W, 60, 90 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:13+08:00,2026/08/25 21:29:13.670, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.52 W, 350.00 W, 350.00 W, 60, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:18+08:00,2026/08/25 21:29:18.695, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 205.23 W, 350.00 W, 350.00 W, 61, 41 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:23+08:00,2026/08/25 21:29:23.721, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 207.61 W, 350.00 W, 350.00 W, 60, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:28+08:00,2026/08/25 21:29:28.752, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 198.27 W, 350.00 W, 350.00 W, 60, 100 %, 82 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:33+08:00,2026/08/25 21:29:33.782, 1950 MHz, 2100 MHz, 9501 MHz, 1950 MHz, 164.40 W, 350.00 W, 350.00 W, 58, 100 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:38+08:00,2026/08/25 21:29:38.819, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 164.63 W, 350.00 W, 350.00 W, 58, 100 %, 21146 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:43+08:00,2026/08/25 21:29:43.854, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 165.50 W, 350.00 W, 350.00 W, 58, 75 %, 22544 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:48+08:00,2026/08/25 21:29:48.882, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 216.04 W, 350.00 W, 350.00 W, 60, 88 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:53+08:00,2026/08/25 21:29:53.908, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 217.50 W, 350.00 W, 350.00 W, 60, 60 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:29:58+08:00,2026/08/25 21:29:58.934, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 215.59 W, 350.00 W, 350.00 W, 60, 88 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:03+08:00,2026/08/25 21:30:03.963, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 208.39 W, 350.00 W, 350.00 W, 60, 88 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:08+08:00,2026/08/25 21:30:08.990, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 216.58 W, 350.00 W, 350.00 W, 60, 88 %, 22566 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:14+08:00,2026/08/25 21:30:14.014, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 204.70 W, 350.00 W, 350.00 W, 61, 86 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:19+08:00,2026/08/25 21:30:19.041, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 216.17 W, 350.00 W, 350.00 W, 61, 89 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:24+08:00,2026/08/25 21:30:24.069, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 216.70 W, 350.00 W, 350.00 W, 61, 89 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:29+08:00,2026/08/25 21:30:29.097, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 216.97 W, 350.00 W, 350.00 W, 61, 87 %, 22570 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:34+08:00,2026/08/25 21:30:34.125, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 217.39 W, 350.00 W, 350.00 W, 61, 89 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:39+08:00,2026/08/25 21:30:39.150, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 215.52 W, 350.00 W, 350.00 W, 60, 31 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:44+08:00,2026/08/25 21:30:44.177, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 217.55 W, 350.00 W, 350.00 W, 61, 86 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:49+08:00,2026/08/25 21:30:49.206, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 212.33 W, 350.00 W, 350.00 W, 62, 87 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:54+08:00,2026/08/25 21:30:54.233, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 218.36 W, 350.00 W, 350.00 W, 61, 88 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:30:59+08:00,2026/08/25 21:30:59.262, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 219.44 W, 350.00 W, 350.00 W, 62, 86 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
2026-08-25T21:31:04+08:00,2026/08/25 21:31:04.292, 1965 MHz, 2100 MHz, 9501 MHz, 1965 MHz, 217.01 W, 350.00 W, 350.00 W, 62, 87 %, 22578 MiB, P2, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active
