timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:55:22.936, 0, 20768 MiB, 81 %, 1950 MHz, 1950 MHz, 224.18 W, 64, P2, 0x0000000000000000
2026/08/26 22:55:23.936, 0, 20768 MiB, 84 %, 1950 MHz, 1950 MHz, 226.71 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:24.936, 0, 20768 MiB, 81 %, 1950 MHz, 1950 MHz, 226.65 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:25.937, 0, 20770 MiB, 85 %, 1950 MHz, 1950 MHz, 225.26 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:26.937, 0, 20770 MiB, 84 %, 1950 MHz, 1950 MHz, 227.66 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:27.937, 0, 20772 MiB, 85 %, 1950 MHz, 1950 MHz, 229.84 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:28.937, 0, 20772 MiB, 32 %, 1950 MHz, 1950 MHz, 226.76 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:29.937, 0, 20772 MiB, 85 %, 1950 MHz, 1950 MHz, 219.24 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:30.937, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 224.50 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:31.938, 0, 20772 MiB, 79 %, 1950 MHz, 1950 MHz, 229.25 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:32.938, 0, 20772 MiB, 84 %, 1950 MHz, 1950 MHz, 227.22 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:33.938, 0, 20772 MiB, 80 %, 1950 MHz, 1950 MHz, 230.84 W, 64, P2, 0x0000000000000000
2026/08/26 22:55:34.938, 0, 20772 MiB, 74 %, 1950 MHz, 1950 MHz, 220.07 W, 62, P2, 0x0000000000000000
2026/08/26 22:55:35.938, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 224.13 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:36.938, 0, 20772 MiB, 82 %, 1950 MHz, 1950 MHz, 226.83 W, 64, P2, 0x0000000000000000
2026/08/26 22:55:37.939, 0, 20772 MiB, 80 %, 1950 MHz, 1950 MHz, 226.89 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:38.939, 0, 20772 MiB, 80 %, 1950 MHz, 1950 MHz, 229.35 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:39.939, 0, 20772 MiB, 84 %, 1950 MHz, 1950 MHz, 225.73 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:40.939, 0, 20772 MiB, 85 %, 1950 MHz, 1950 MHz, 227.97 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:41.939, 0, 20772 MiB, 85 %, 1950 MHz, 1950 MHz, 233.01 W, 64, P2, 0x0000000000000000
2026/08/26 22:55:42.940, 0, 20772 MiB, 84 %, 1950 MHz, 1950 MHz, 217.46 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:43.940, 0, 20772 MiB, 85 %, 1950 MHz, 1950 MHz, 225.79 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:44.940, 0, 20772 MiB, 84 %, 1950 MHz, 1950 MHz, 224.99 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:45.940, 0, 20772 MiB, 85 %, 1950 MHz, 1950 MHz, 226.39 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:46.941, 0, 20772 MiB, 82 %, 1950 MHz, 1950 MHz, 223.92 W, 63, P2, 0x0000000000000000
