timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 20:40:19.081, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 342.45 W, 73, P2, 0x0000000000000000
2026/08/26 20:40:20.081, 0, 392 MiB, 77 %, 1935 MHz, 1935 MHz, 339.23 W, 73, P2, 0x0000000000000000
2026/08/26 20:40:21.081, 0, 346 MiB, 100 %, 1935 MHz, 1935 MHz, 206.68 W, 67, P0, 0x0000000000000000
2026/08/26 20:40:22.105, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 176.82 W, 66, P2, 0x0000000000000000
2026/08/26 20:40:23.106, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 174.01 W, 65, P2, 0x0000000000000000
2026/08/26 20:40:24.106, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 153.66 W, 63, P2, 0x0000000000000000
2026/08/26 20:40:25.106, 0, 19044 MiB, 0 %, 1695 MHz, 1695 MHz, 135.20 W, 62, P2, 0x0000000000000000
2026/08/26 20:40:26.106, 0, 19044 MiB, 99 %, 1950 MHz, 1950 MHz, 162.92 W, 63, P2, 0x0000000000000000
2026/08/26 20:40:27.106, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 172.41 W, 63, P2, 0x0000000000000000
2026/08/26 20:40:28.107, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 171.56 W, 63, P2, 0x0000000000000000
2026/08/26 20:40:29.107, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 171.57 W, 63, P2, 0x0000000000000000
2026/08/26 20:40:30.107, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 171.57 W, 62, P2, 0x0000000000000000
2026/08/26 20:40:31.107, 0, 19044 MiB, 99 %, 1950 MHz, 1950 MHz, 170.96 W, 62, P2, 0x0000000000000000
2026/08/26 20:40:32.116, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 170.85 W, 62, P2, 0x0000000000000000
2026/08/26 20:40:33.116, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 170.59 W, 62, P2, 0x0000000000000000
2026/08/26 20:40:34.116, 0, 19044 MiB, 100 %, 1950 MHz, 1950 MHz, 170.07 W, 62, P2, 0x0000000000000000
2026/08/26 20:40:35.116, 0, 19044 MiB, 99 %, 1950 MHz, 1950 MHz, 170.35 W, 61, P2, 0x0000000000000000
2026/08/26 20:40:36.117, 0, 20188 MiB, 100 %, 1950 MHz, 1950 MHz, 170.01 W, 61, P2, 0x0000000000000000
2026/08/26 20:40:37.117, 0, 22236 MiB, 0 %, 1950 MHz, 1950 MHz, 171.42 W, 61, P2, 0x0000000000000000
2026/08/26 20:40:38.117, 0, 22270 MiB, 61 %, 1950 MHz, 1950 MHz, 239.28 W, 66, P2, 0x0000000000000000
2026/08/26 20:40:39.117, 0, 22270 MiB, 78 %, 1935 MHz, 1935 MHz, 317.27 W, 67, P2, 0x0000000000000004
2026/08/26 20:40:40.117, 0, 22270 MiB, 76 %, 1950 MHz, 1950 MHz, 297.62 W, 66, P2, 0x0000000000000000
2026/08/26 20:40:41.118, 0, 22270 MiB, 78 %, 1950 MHz, 1950 MHz, 322.52 W, 68, P2, 0x0000000000000000
2026/08/26 20:40:42.125, 0, 22270 MiB, 77 %, 1950 MHz, 1950 MHz, 317.92 W, 68, P2, 0x0000000000000004
2026/08/26 20:40:43.126, 0, 22270 MiB, 72 %, 1935 MHz, 1935 MHz, 288.76 W, 68, P2, 0x0000000000000004
2026/08/26 20:40:44.126, 0, 22270 MiB, 76 %, 1950 MHz, 1950 MHz, 318.35 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:45.126, 0, 22286 MiB, 79 %, 1950 MHz, 1950 MHz, 284.52 W, 68, P2, 0x0000000000000000
2026/08/26 20:40:46.126, 0, 22286 MiB, 78 %, 1935 MHz, 1935 MHz, 321.40 W, 68, P2, 0x0000000000000004
2026/08/26 20:40:47.127, 0, 22286 MiB, 75 %, 1935 MHz, 1935 MHz, 320.49 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:48.127, 0, 22286 MiB, 41 %, 1935 MHz, 1935 MHz, 280.67 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:49.127, 0, 22286 MiB, 76 %, 1920 MHz, 1920 MHz, 328.66 W, 69, P2, 0x0000000000000004
2026/08/26 20:40:50.128, 0, 22292 MiB, 59 %, 1920 MHz, 1920 MHz, 256.16 W, 64, P2, 0x0000000000000004
2026/08/26 20:40:51.128, 0, 22292 MiB, 75 %, 1935 MHz, 1935 MHz, 257.53 W, 68, P2, 0x0000000000000004
2026/08/26 20:40:52.128, 0, 22292 MiB, 76 %, 1950 MHz, 1950 MHz, 318.20 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:53.128, 0, 22292 MiB, 44 %, 1935 MHz, 1935 MHz, 300.54 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:54.129, 0, 22292 MiB, 78 %, 1920 MHz, 1920 MHz, 327.73 W, 69, P2, 0x0000000000000000
2026/08/26 20:40:55.129, 0, 22292 MiB, 79 %, 1935 MHz, 1935 MHz, 294.15 W, 66, P2, 0x0000000000000000
2026/08/26 20:40:56.129, 0, 22292 MiB, 77 %, 1935 MHz, 1935 MHz, 315.27 W, 70, P2, 0x0000000000000000
2026/08/26 20:40:57.132, 0, 22292 MiB, 75 %, 1935 MHz, 1935 MHz, 309.60 W, 67, P2, 0x0000000000000004
2026/08/26 20:40:58.132, 0, 22292 MiB, 72 %, 1920 MHz, 1920 MHz, 301.56 W, 70, P2, 0x0000000000000004
2026/08/26 20:40:59.132, 0, 22292 MiB, 78 %, 1920 MHz, 1920 MHz, 322.03 W, 70, P2, 0x0000000000000004
2026/08/26 20:41:00.132, 0, 22292 MiB, 63 %, 1935 MHz, 1935 MHz, 287.99 W, 70, P2, 0x0000000000000000
2026/08/26 20:41:01.132, 0, 22292 MiB, 77 %, 1920 MHz, 1920 MHz, 331.50 W, 71, P2, 0x0000000000000004
2026/08/26 20:41:02.133, 0, 22292 MiB, 79 %, 1935 MHz, 1935 MHz, 303.02 W, 67, P2, 0x0000000000000000
2026/08/26 20:41:03.133, 0, 22292 MiB, 77 %, 1920 MHz, 1920 MHz, 311.69 W, 71, P2, 0x0000000000000004
2026/08/26 20:41:04.133, 0, 22292 MiB, 79 %, 1920 MHz, 1920 MHz, 323.92 W, 71, P2, 0x0000000000000000
2026/08/26 20:41:05.133, 0, 346 MiB, 4 %, 1935 MHz, 1935 MHz, 209.34 W, 65, P0, 0x0000000000000000
2026/08/26 20:41:06.293, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 174.22 W, 64, P2, 0x0000000000000024
2026/08/26 20:41:07.293, 0, 346 MiB, 7 %, 1950 MHz, 1950 MHz, 170.64 W, 64, P2, 0x0000000000000000
2026/08/26 20:41:08.293, 0, 20144 MiB, 7 %, 1695 MHz, 1695 MHz, 149.28 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:09.293, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 144.67 W, 62, P2, 0x0000000000000000
2026/08/26 20:41:10.294, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 171.40 W, 62, P2, 0x0000000000000000
2026/08/26 20:41:11.294, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 171.08 W, 62, P2, 0x0000000000000000
2026/08/26 20:41:12.294, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 171.01 W, 62, P2, 0x0000000000000000
2026/08/26 20:41:13.294, 0, 20144 MiB, 99 %, 1950 MHz, 1950 MHz, 170.50 W, 62, P2, 0x0000000000000000
2026/08/26 20:41:14.294, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 170.46 W, 62, P2, 0x0000000000000000
2026/08/26 20:41:15.294, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 170.20 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:16.294, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 169.76 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:17.295, 0, 20144 MiB, 99 %, 1950 MHz, 1950 MHz, 170.09 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:18.295, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 169.81 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:19.295, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 169.64 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:20.295, 0, 20800 MiB, 100 %, 1950 MHz, 1950 MHz, 169.04 W, 61, P2, 0x0000000000000000
2026/08/26 20:41:21.295, 0, 20816 MiB, 0 %, 1950 MHz, 1950 MHz, 184.58 W, 63, P2, 0x0000000000000000
2026/08/26 20:41:22.295, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 319.26 W, 67, P2, 0x0000000000000000
2026/08/26 20:41:23.295, 0, 20816 MiB, 79 %, 1950 MHz, 1950 MHz, 333.04 W, 68, P2, 0x0000000000000000
2026/08/26 20:41:24.296, 0, 20816 MiB, 79 %, 1950 MHz, 1950 MHz, 295.74 W, 67, P2, 0x0000000000000000
2026/08/26 20:41:25.296, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 330.53 W, 68, P2, 0x0000000000000000
2026/08/26 20:41:26.296, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 330.08 W, 68, P2, 0x0000000000000000
2026/08/26 20:41:27.296, 0, 20816 MiB, 30 %, 1950 MHz, 1950 MHz, 294.15 W, 68, P2, 0x0000000000000000
2026/08/26 20:41:28.296, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 334.73 W, 69, P2, 0x0000000000000000
2026/08/26 20:41:29.296, 0, 20816 MiB, 77 %, 1935 MHz, 1935 MHz, 333.99 W, 69, P2, 0x0000000000000000
2026/08/26 20:41:30.296, 0, 20816 MiB, 65 %, 1935 MHz, 1935 MHz, 283.28 W, 69, P2, 0x0000000000000000
2026/08/26 20:41:31.296, 0, 20816 MiB, 77 %, 1935 MHz, 1935 MHz, 332.30 W, 69, P2, 0x0000000000000000
2026/08/26 20:41:32.297, 0, 20816 MiB, 75 %, 1935 MHz, 1935 MHz, 333.22 W, 70, P2, 0x0000000000000000
2026/08/26 20:41:33.297, 0, 20816 MiB, 68 %, 1935 MHz, 1935 MHz, 283.23 W, 69, P2, 0x0000000000000000
2026/08/26 20:41:34.297, 0, 20816 MiB, 79 %, 1935 MHz, 1935 MHz, 336.17 W, 70, P2, 0x0000000000000000
2026/08/26 20:41:35.297, 0, 20824 MiB, 80 %, 1935 MHz, 1935 MHz, 336.45 W, 70, P2, 0x0000000000000000
2026/08/26 20:41:36.297, 0, 20824 MiB, 100 %, 1935 MHz, 1935 MHz, 257.52 W, 70, P2, 0x0000000000000000
2026/08/26 20:41:37.297, 0, 20824 MiB, 74 %, 1935 MHz, 1935 MHz, 333.00 W, 70, P2, 0x0000000000000000
2026/08/26 20:41:38.298, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 335.94 W, 71, P2, 0x0000000000000000
2026/08/26 20:41:39.298, 0, 20824 MiB, 74 %, 1935 MHz, 1935 MHz, 306.28 W, 71, P2, 0x0000000000000000
2026/08/26 20:41:40.298, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 337.11 W, 71, P2, 0x0000000000000000
2026/08/26 20:41:41.298, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 329.58 W, 68, P2, 0x0000000000000000
2026/08/26 20:41:42.298, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 295.25 W, 71, P2, 0x0000000000000000
2026/08/26 20:41:43.298, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 334.91 W, 71, P2, 0x0000000000000000
2026/08/26 20:41:44.298, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 318.80 W, 69, P2, 0x0000000000000000
2026/08/26 20:41:45.299, 0, 20824 MiB, 75 %, 1935 MHz, 1935 MHz, 308.94 W, 72, P2, 0x0000000000000000
2026/08/26 20:41:46.299, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 337.80 W, 72, P2, 0x0000000000000000
2026/08/26 20:41:47.299, 0, 20824 MiB, 80 %, 1920 MHz, 1920 MHz, 301.66 W, 70, P2, 0x0000000000000004
2026/08/26 20:41:48.299, 0, 20824 MiB, 79 %, 1935 MHz, 1935 MHz, 324.71 W, 72, P2, 0x0000000000000000
2026/08/26 20:41:49.299, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 337.85 W, 72, P2, 0x0000000000000000
2026/08/26 20:41:50.299, 0, 20824 MiB, 77 %, 1920 MHz, 1920 MHz, 296.20 W, 71, P2, 0x0000000000000004
2026/08/26 20:41:51.299, 0, 20824 MiB, 76 %, 1935 MHz, 1935 MHz, 333.89 W, 73, P2, 0x0000000000000000
2026/08/26 20:41:52.299, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 337.43 W, 73, P2, 0x0000000000000000
2026/08/26 20:41:53.300, 0, 85 MiB, 24 %, 1935 MHz, 1935 MHz, 259.05 W, 68, P0, 0x0000000000000000
2026/08/26 20:41:54.379, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 177.35 W, 66, P2, 0x0000000000000000
2026/08/26 20:41:55.380, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 173.22 W, 65, P2, 0x0000000000000000
2026/08/26 20:41:56.380, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 159.27 W, 63, P2, 0x0000000000000000
2026/08/26 20:41:57.380, 0, 19362 MiB, 0 %, 1950 MHz, 1950 MHz, 137.39 W, 63, P2, 0x0000000000000000
2026/08/26 20:41:58.380, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 168.86 W, 63, P2, 0x0000000000000000
2026/08/26 20:41:59.380, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 172.32 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:00.380, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 171.74 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:01.380, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 171.32 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:02.381, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 171.45 W, 62, P2, 0x0000000000000000
2026/08/26 20:42:03.381, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 171.18 W, 62, P2, 0x0000000000000000
2026/08/26 20:42:04.381, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 170.62 W, 62, P2, 0x0000000000000000
2026/08/26 20:42:05.381, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 170.79 W, 62, P2, 0x0000000000000000
2026/08/26 20:42:06.381, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 170.28 W, 62, P2, 0x0000000000000000
2026/08/26 20:42:07.381, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 170.22 W, 61, P2, 0x0000000000000000
2026/08/26 20:42:08.381, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 170.10 W, 61, P2, 0x0000000000000000
2026/08/26 20:42:09.381, 0, 20744 MiB, 0 %, 1950 MHz, 1950 MHz, 173.04 W, 62, P2, 0x0000000000000000
2026/08/26 20:42:10.382, 0, 20768 MiB, 76 %, 1950 MHz, 1950 MHz, 216.21 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:11.382, 0, 20770 MiB, 81 %, 1950 MHz, 1950 MHz, 232.08 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:12.382, 0, 20770 MiB, 80 %, 1950 MHz, 1950 MHz, 233.65 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:13.382, 0, 20770 MiB, 80 %, 1950 MHz, 1950 MHz, 231.27 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:14.382, 0, 20770 MiB, 83 %, 1950 MHz, 1950 MHz, 230.00 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:15.382, 0, 20770 MiB, 83 %, 1950 MHz, 1950 MHz, 228.44 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:16.382, 0, 20770 MiB, 83 %, 1950 MHz, 1950 MHz, 231.81 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:17.383, 0, 20770 MiB, 79 %, 1950 MHz, 1950 MHz, 234.93 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:18.383, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 232.80 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:19.383, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 229.34 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:20.383, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 230.54 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:21.383, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 221.70 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:22.384, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 231.53 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:23.384, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 232.81 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:24.384, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 231.40 W, 64, P2, 0x0000000000000000
2026/08/26 20:42:25.384, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 232.52 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:26.385, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 237.51 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:27.385, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 230.20 W, 63, P2, 0x0000000000000000
2026/08/26 20:42:28.385, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 230.92 W, 63, P2, 0x0000000000000000
